SNO,FILENAME,TIME_TAKEN,DB_SIZE,AVG_TIME_TAKEN_PER_FILE,AVG_SPACE_TAKEN_PER_FILE
150,011549 Ramco Publicis_Ramco Pte Ltd_Master Services Agreement _18th Nov_RS (2)_copy_232.pdf,0.8316,0.6992,0.8176,0.0047
151,011549 Ramco Publicis_Ramco Pte Ltd_Master Services Agreement _18th Nov_RS (2)_copy_233.pdf,0.8015,0.7031,0.8175,0.0047
152,011549 Ramco Publicis_Ramco Pte Ltd_Master Services Agreement _18th Nov_RS (2)_copy_234.pdf,0.8495,0.707,0.8177,0.0047
153,011549 Ramco Publicis_Ramco Pte Ltd_Master Services Agreement _18th Nov_RS (2)_copy_235.pdf,0.8278,0.7148,0.8178,0.0047
154,011549 Ramco Publicis_Ramco Pte Ltd_Master Services Agreement _18th Nov_RS (2)_copy_236.pdf,0.8104,0.7188,0.8177,0.0047
155,011549 Ramco Publicis_Ramco Pte Ltd_Master Services Agreement _18th Nov_RS (2)_copy_237.pdf,0.8453,0.7227,0.8179,0.0047
156,011549 Ramco Publicis_Ramco Pte Ltd_Master Services Agreement _18th Nov_RS (2)_copy_238.pdf,0.8163,0.7266,0.8179,0.0047
157,011549 Ramco Publicis_Ramco Pte Ltd_Master Services Agreement _18th Nov_RS (2)_copy_239.pdf,0.8332,0.7305,0.818,0.0047
158,011549 Ramco Publicis_Ramco Pte Ltd_Master Services Agreement _18th Nov_RS (2)_copy_24.pdf,0.8146,0.7344,0.818,0.0046
159,011549 Ramco Publicis_Ramco Pte Ltd_Master Services Agreement _18th Nov_RS (2)_copy_240.pdf,0.8291,0.7383,0.818,0.0046
160,011549 Ramco Publicis_Ramco Pte Ltd_Master Services Agreement _18th Nov_RS (2)_copy_241.pdf,0.8254,0.7422,0.8181,0.0046
161,011549 Ramco Publicis_Ramco Pte Ltd_Master Services Agreement _18th Nov_RS (2)_copy_242.pdf,0.8255,0.75,0.8181,0.0047
162,011549 Ramco Publicis_Ramco Pte Ltd_Master Services Agreement _18th Nov_RS (2)_copy_243.pdf,0.8052,0.7539,0.818,0.0047
163,011549 Ramco Publicis_Ramco Pte Ltd_Master Services Agreement _18th Nov_RS (2)_copy_244.pdf,0.8194,0.7617,0.8181,0.0047
164,011549 Ramco Publicis_Ramco Pte Ltd_Master Services Agreement _18th Nov_RS (2)_copy_245.pdf,0.9032,0.7656,0.8186,0.0047
165,011549 Ramco Publicis_Ramco Pte Ltd_Master Services Agreement _18th Nov_RS (2)_copy_246.pdf,0.8683,0.7695,0.8189,0.0047
166,011549 Ramco Publicis_Ramco Pte Ltd_Master Services Agreement _18th Nov_RS (2)_copy_247.pdf,0.8158,0.7734,0.8189,0.0047
167,011549 Ramco Publicis_Ramco Pte Ltd_Master Services Agreement _18th Nov_RS (2)_copy_248.pdf,0.827,0.7773,0.8189,0.0047
168,011549 Ramco Publicis_Ramco Pte Ltd_Master Services Agreement _18th Nov_RS (2)_copy_249.pdf,0.8643,0.7812,0.8192,0.0047
169,011549 Ramco Publicis_Ramco Pte Ltd_Master Services Agreement _18th Nov_RS (2)_copy_25.pdf,0.8539,0.7891,0.8194,0.0047
170,011549 Ramco Publicis_Ramco Pte Ltd_Master Services Agreement _18th Nov_RS (2)_copy_250.pdf,0.8531,0.793,0.8196,0.0047
171,011549 Ramco Publicis_Ramco Pte Ltd_Master Services Agreement _18th Nov_RS (2)_copy_251.pdf,0.8316,0.7969,0.8196,0.0047
172,011549 Ramco Publicis_Ramco Pte Ltd_Master Services Agreement _18th Nov_RS (2)_copy_252.pdf,0.9074,0.8008,0.8202,0.0047
173,011549 Ramco Publicis_Ramco Pte Ltd_Master Services Agreement _18th Nov_RS (2)_copy_253.pdf,0.8847,0.8047,0.8205,0.0047
174,011549 Ramco Publicis_Ramco Pte Ltd_Master Services Agreement _18th Nov_RS (2)_copy_254.pdf,0.9591,0.8086,0.8213,0.0046
175,011549 Ramco Publicis_Ramco Pte Ltd_Master Services Agreement _18th Nov_RS (2)_copy_255.pdf,0.9306,0.8125,0.822,0.0046
176,011549 Ramco Publicis_Ramco Pte Ltd_Master Services Agreement _18th Nov_RS (2)_copy_256.pdf,0.9928,0.8164,0.8229,0.0046
